iter	Logloss
0	0.6353770445
1	0.5976676166
2	0.5745412478
3	0.5593814415
4	0.543850339
5	0.5341842807
6	0.5219333277
7	0.5135164494
8	0.5016436813
9	0.4891060119
10	0.4797303767
11	0.4732960335
12	0.4639249652
13	0.4594632795
14	0.4549050636
15	0.4521735464
16	0.4489813917
17	0.4413492273
18	0.4364519349
19	0.4333510962
20	0.4279711918
21	0.4254961843
22	0.4211661366
23	0.4157207453
24	0.413626632
25	0.4111413719
26	0.4072137672
27	0.404202154
28	0.4013637028
29	0.3972440011
30	0.3963099377
31	0.3940169359
32	0.3923790318
33	0.3881605544
34	0.3855511815
35	0.3838280405
36	0.3808086669
37	0.3794495984
38	0.3766903013
39	0.3753166556
40	0.3737824414
41	0.3711782597
42	0.3698664256
43	0.368296357
44	0.3666164806
45	0.364385193
46	0.3621150871
47	0.3611078156
48	0.3565608459
49	0.3544686991
50	0.3520068893
51	0.3510544691
52	0.3488972867
53	0.345534493
54	0.3429147029
55	0.3367195504
56	0.3336779458
57	0.3310102298
58	0.3271325755
59	0.3228341862
60	0.3203428351
61	0.3179806538
62	0.3150996309
63	0.3139547652
64	0.3119035491
65	0.3088846691
66	0.3068753752
67	0.3054021119
68	0.3047688448
69	0.303500394
70	0.3020730278
71	0.3010163432
72	0.2994873054
73	0.2982831779
74	0.2960793736
75	0.2948232736
76	0.2938093282
77	0.2918506596
78	0.2901474303
79	0.287661235
80	0.2868844074
81	0.2838985973
82	0.282886864
83	0.2817509068
84	0.2805435303
85	0.2794421037
86	0.2781987952
87	0.2771218956
88	0.2760512469
89	0.2751284048
90	0.2742151787
91	0.2731597493
92	0.2721419191
93	0.269932147
94	0.2690404144
95	0.2684783705
96	0.2675390342
97	0.266502309
98	0.2657368649
99	0.2650684749
100	0.264426235
101	0.2635602821
102	0.262962812
103	0.2623092753
104	0.2618516197
105	0.260590695
106	0.2596307664
107	0.2590124061
108	0.2581467149
109	0.2572116529
110	0.2559816659
111	0.2548699792
112	0.2539443235
113	0.2533030317
114	0.2526818202
115	0.2520265734
116	0.2513098456
117	0.250514552
118	0.2494629598
119	0.2487813395
120	0.2482623539
121	0.2479761023
122	0.2473669387
123	0.2468320634
124	0.2458646729
125	0.2453174177
126	0.2443822933
127	0.2426699698
128	0.2418444188
129	0.2408159006
130	0.2402179712
131	0.239368614
132	0.238981117
133	0.2382006559
134	0.2377225569
135	0.2371587478
136	0.2367413912
137	0.2358086366
138	0.2350729939
139	0.2342797982
140	0.2332218736
141	0.2326354332
142	0.2318952019
143	0.2314284038
144	0.2309331031
145	0.2297083092
146	0.2287025461
147	0.2280290299
148	0.2275984672
149	0.2271423905
